Gate_ID,Material,Location,Height (ft),Width (ft),Opening_Mechanism,Security_Features,Use_Case,Budget,Climate_Suitability,Parking_Space,Cable_Layout,Storage_Space
1,Glass,Indoor,6.9,15.4,Sliding,Advanced Lock,Residential,Medium,All,No,Underground,Large
2,Composite,Outdoor,6.7,6.1,Automatic,Simple Latch,Residential,Medium,Cold,No,Overhead,Small
3,Metal,Indoor,5.9,8.9,Swinging,Standard Lock,Industrial,High,All,No,None,Medium
4,Glass,Outdoor,8.0,14.3,Sliding,Reinforced,Residential,Low,Hot,No,Overhead,Small
5,Glass,Outdoor,7.4,11.2,Swinging,Standard Lock,Industrial,Low,All,No,Underground,None
6,Composite,Indoor,9.3,15.6,Sliding,Reinforced,Commercial,Medium,Hot,Yes,None,Medium
7,Metal,Outdoor,5.2,19.3,Sliding,Advanced Lock,Industrial,High,Hot,No,Underground,Medium
8,Metal,Outdoor,8.2,5.0,Sliding,Reinforced,Commercial,High,Humid,Yes,None,None
9,Glass,Indoor,8.8,15.1,Folding,Standard Lock,Commercial,Low,Hot,No,None,None
10,Wood,Indoor,8.8,6.9,Folding,Simple Latch,Commercial,High,Humid,No,Underground,Medium
11,Glass,Indoor,9.4,10.0,Sliding,Standard Lock,Residential,Low,Cold,Yes,Underground,None
12,Glass,Indoor,8.6,3.6,Sliding,Simple Latch,Residential,Low,Hot,Yes,Overhead,Medium
13,Glass,Outdoor,9.6,5.3,Sliding,Simple Latch,Industrial,High,Hot,No,Overhead,None
14,Glass,Indoor,6.7,8.4,Sliding,Simple Latch,Commercial,Medium,Hot,Yes,Underground,Medium
15,Composite,Indoor,7.5,8.8,Automatic,Reinforced,Industrial,Low,All,Yes,Underground,Small
16,Metal,Indoor,5.1,18.3,Automatic,Advanced Lock,Commercial,Low,Hot,Yes,Overhead,Small
17,Composite,Indoor,5.0,15.6,Automatic,Advanced Lock,Commercial,Low,Cold,No,Underground,None
18,Composite,Indoor,6.2,19.5,Folding,Advanced Lock,Industrial,Low,Humid,Yes,None,None
19,Composite,Outdoor,5.5,13.2,Swinging,Simple Latch,Industrial,High,Cold,Yes,Overhead,Medium
20,Glass,Indoor,6.3,7.1,Sliding,Reinforced,Industrial,High,Humid,No,Overhead,Large
21,Wood,Outdoor,5.9,8.6,Automatic,Reinforced,Industrial,High,Cold,No,None,None
22,Metal,Indoor,5.1,8.4,Automatic,Reinforced,Residential,High,All,No,None,Small
23,Wood,Indoor,9.5,8.6,Automatic,Standard Lock,Commercial,Low,Cold,No,Underground,None
24,Composite,Indoor,5.0,14.4,Sliding,Reinforced,Commercial,Medium,Cold,No,Underground,Medium
25,Composite,Indoor,8.7,12.0,Sliding,Reinforced,Residential,Medium,Hot,No,None,Medium
26,Wood,Indoor,5.8,9.6,Swinging,Reinforced,Commercial,High,All,No,None,None
27,Wood,Indoor,9.6,5.5,Folding,Advanced Lock,Residential,Low,All,Yes,Overhead,None
28,Wood,Indoor,9.5,3.4,Swinging,Simple Latch,Commercial,High,Hot,Yes,Overhead,Large
29,Composite,Indoor,8.3,6.7,Sliding,Standard Lock,Residential,Medium,Humid,Yes,Overhead,Large
30,Composite,Outdoor,8.4,4.8,Swinging,Advanced Lock,Residential,High,Cold,Yes,Underground,Medium
31,Metal,Indoor,5.0,16.4,Automatic,Reinforced,Commercial,Low,Hot,No,Overhead,Large
32,Metal,Outdoor,9.9,4.9,Swinging,Simple Latch,Commercial,Low,All,Yes,None,Small
33,Composite,Indoor,9.4,15.3,Automatic,Simple Latch,Commercial,Low,Cold,No,Overhead,None
